id,documento,tipo_persona
60001,93030-4133,EMPLEADO
60002,77655-5594,NO_RELACIONADO
60003,31328-6974,EMPLEADO
60004,53142-6681,VECINO
60005,32783-6291,ESTUDIANTE
60006,83596-2495,NO_RELACIONADO
60007,90497-2799,PROFESOR
60008,46672-0866,NO_RELACIONADO
60009,73465-3180,ESTUDIANTE
60010,90246-6026,VECINO
60011,07568-2636,NO_RELACIONADO
60012,27125-1035,VECINO
60013,29969-2978,VECINO
60014,77779-9982,NO_RELACIONADO
60015,89615-8741,NO_RELACIONADO
60016,05821-3382,ESTUDIANTE
60017,89880-4222,NO_RELACIONADO
60018,34161-1398,NO_RELACIONADO
60019,64178-4394,EMPLEADO
60020,79880-7647,NO_RELACIONADO
60021,18859-6733,EGRESADO
60022,98925-8560,VECINO
60023,50952-7348,EMPLEADO
60024,97471-3130,ESTUDIANTE
60025,37294-4384,NO_RELACIONADO
60026,74832-7242,NO_RELACIONADO
60027,83673-5505,PADRE
60028,69916-9771,PROFESOR
60029,62334-1998,EGRESADO
60030,69935-0349,PROFESOR
60031,53174-2961,PROFESOR
60032,31083-9580,VECINO
60033,60096-0579,VECINO
60034,57110-4232,PROFESOR
60035,45540-3776,PROFESOR
60036,06180-5326,PADRE
60037,35877-4666,PADRE
60038,95002-7328,VECINO
60039,81156-8552,EGRESADO
60040,04468-0808,VECINO
60041,78953-5589,ESTUDIANTE
60042,42018-8483,NO_RELACIONADO
60043,41092-2146,PADRE
60044,87615-1183,VECINO
60045,30166-9154,EGRESADO
60046,36918-1625,VECINO
60047,73812-7273,NO_RELACIONADO
60048,46488-5209,EMPLEADO
60049,61628-7839,PROFESOR
60050,95473-0184,PADRE
60051,50874-5055,VECINO
60052,36660-4559,PADRE
60053,14708-6105,ESTUDIANTE
60054,15743-7910,PROFESOR
60055,55325-0649,VECINO
60056,05216-1718,ESTUDIANTE
60057,10181-7157,EGRESADO
60058,57930-3462,EMPLEADO
60059,11448-2181,PADRE
60060,21494-2502,ESTUDIANTE
60061,08159-4565,PADRE
60062,15327-9518,EMPLEADO
60063,52819-3618,EMPLEADO
60064,83301-2779,PADRE
60065,35019-4192,ESTUDIANTE
60066,71675-5972,EMPLEADO
60067,47471-2652,PADRE
60068,38070-9942,NO_RELACIONADO
60069,31271-4600,NO_RELACIONADO
60070,17579-0796,EMPLEADO
60071,82240-5085,PADRE
60072,89857-1728,EGRESADO
60073,80447-0019,PROFESOR
60074,14441-9914,VECINO
60075,70326-2139,PROFESOR
60076,82817-8183,ESTUDIANTE
60077,32145-3851,PROFESOR
60078,82024-6050,EMPLEADO
60079,90764-7897,EGRESADO
60080,88612-5876,PROFESOR
60081,58073-4619,PADRE
60082,72596-8539,EGRESADO
60083,56884-7338,PADRE
60084,21711-6157,PROFESOR
60085,86652-5741,PROFESOR
60086,15531-3619,PADRE
60087,79942-2954,ESTUDIANTE
60088,40276-3390,EMPLEADO
60089,03905-4351,ESTUDIANTE
60090,48027-2245,ESTUDIANTE
60091,58809-8134,PROFESOR
60092,47428-1501,PADRE
60093,56757-5723,PADRE
60094,43829-7750,EGRESADO
60095,25536-3438,PROFESOR
60096,13829-0880,ESTUDIANTE
60097,84612-3564,VECINO
60098,40152-7371,ESTUDIANTE
60099,16013-1237,ESTUDIANTE
60100,07515-2557,VECINO
60101,22250-6993,EMPLEADO
60102,73488-4979,PADRE
60103,53518-1297,PADRE
60104,61259-4372,EGRESADO
60105,23484-7275,ESTUDIANTE
60106,51920-1220,VECINO
60107,37863-3687,ESTUDIANTE
60108,91484-8366,NO_RELACIONADO
60109,04121-7618,EGRESADO
60110,21307-3340,PROFESOR
60111,31609-0724,PADRE
60112,94560-9781,ESTUDIANTE
60113,00873-4478,PROFESOR
60114,46218-4959,NO_RELACIONADO
60115,23649-8009,PADRE
60116,38541-4652,EMPLEADO
60117,51105-9202,PADRE
60118,68374-5511,EMPLEADO
60119,28090-9777,PADRE
60120,97688-3819,PADRE
60121,31409-4262,EGRESADO
60122,15216-9971,NO_RELACIONADO
60123,10029-1076,PROFESOR
60124,05947-8992,ESTUDIANTE
60125,27658-4935,PADRE
60126,34816-0842,ESTUDIANTE
60127,85429-7680,PADRE
60128,28578-1717,PADRE
60129,16144-1358,VECINO
60130,93628-3629,VECINO
60131,97604-8291,ESTUDIANTE
60132,46299-8768,PADRE
60133,12456-1941,PROFESOR
60134,90306-0024,PADRE
60135,46846-9692,EMPLEADO
60136,51303-0747,PADRE
60137,71973-2729,PROFESOR
60138,79164-0410,EGRESADO
60139,10904-6697,EMPLEADO
60140,20304-0592,PROFESOR
60141,42666-5195,NO_RELACIONADO
60142,45133-6518,PROFESOR
60143,25448-9191,NO_RELACIONADO
60144,24808-2248,EMPLEADO
60145,34663-1836,ESTUDIANTE
60146,05328-0945,NO_RELACIONADO
60147,50739-5391,EMPLEADO
60148,03708-5544,ESTUDIANTE
60149,49442-2919,EMPLEADO
60150,71410-6196,NO_RELACIONADO
60151,44224-0125,EMPLEADO
60152,43135-8629,NO_RELACIONADO
60153,71160-3905,PADRE
60154,40839-8032,NO_RELACIONADO
60155,70095-2875,EMPLEADO
60156,08087-8402,ESTUDIANTE
60157,14808-3502,PADRE
60158,56153-9819,PROFESOR
60159,43418-9873,EMPLEADO
60160,49423-8138,VECINO
60161,97443-8111,VECINO
60162,68619-7150,EMPLEADO
60163,04414-3542,ESTUDIANTE
60164,10720-6538,ESTUDIANTE
60165,71879-3633,PROFESOR
60166,45678-3734,ESTUDIANTE
60167,11849-4848,PROFESOR
60168,90029-1376,PROFESOR
60169,11506-5568,EGRESADO
60170,23930-0649,PADRE
60171,78204-3641,PROFESOR
60172,18345-4386,PADRE
60173,14503-3575,VECINO
60174,04749-1170,NO_RELACIONADO
60175,35575-0083,ESTUDIANTE
60176,49986-1144,PROFESOR
60177,89881-5100,ESTUDIANTE
60178,78523-8579,EMPLEADO
60179,33949-9515,EMPLEADO
60180,22885-5157,PROFESOR
60181,75351-0088,EMPLEADO
60182,42759-3231,ESTUDIANTE
60183,78533-8971,ESTUDIANTE
60184,19440-8930,NO_RELACIONADO
60185,41463-5801,VECINO
60186,22667-2054,VECINO
60187,96485-0411,EGRESADO
60188,08632-5028,EGRESADO
60189,73028-6034,EGRESADO
60190,00787-8133,EMPLEADO
60191,25007-2098,VECINO
60192,87100-4325,EMPLEADO
60193,47639-7141,PADRE
60194,44093-4863,ESTUDIANTE
60195,98474-4539,EMPLEADO
60196,96390-8648,VECINO
60197,04868-6096,EGRESADO
60198,24435-0371,PADRE
60199,70382-6699,ESTUDIANTE
60200,94398-5731,PADRE
60201,71284-0912,NO_RELACIONADO
60202,08705-0988,EGRESADO
60203,53875-3801,PADRE
60204,80867-7227,PROFESOR
60205,82237-0078,VECINO
60206,82800-0596,NO_RELACIONADO
60207,74663-0135,NO_RELACIONADO
60208,54060-1124,PROFESOR
60209,96378-8101,VECINO
60210,65140-2655,VECINO
60211,70902-8015,PADRE
60212,70372-0684,EGRESADO
60213,33689-5368,PADRE
60214,08960-9435,VECINO
60215,81110-9171,NO_RELACIONADO
60216,10760-3988,PROFESOR
60217,45907-7942,ESTUDIANTE
60218,06928-0383,EMPLEADO
60219,63738-1265,NO_RELACIONADO
60220,35617-6499,PADRE
60221,62802-8725,EGRESADO
60222,74130-4280,VECINO
60223,46439-6898,EMPLEADO
60224,12909-9522,PADRE
60225,99102-4290,VECINO
